,,,,,,,,,
Prilog 4- Ugovorni troškovnik- TRIBE INŽENJERING d.o.o.,,,,,,,,,
31.03.2025.,,,,,,,,,
,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Hrvatska",,,,,,,,,
Broj telefona: 0994344287,,,,,,,,,
,,,,,,,,,
Projekt: Osijek-Retfala,,,,,,,,,
"Gradilište: Svilajska ul., 31000 Osijek",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Ukupni neto iznos,,,,,90320.68,,
,,Popust,0%,,,,,,
,,Ukupni iznos s popustom,,,,,,,
,,Zakonska stopa PDV-a,0%,,,,,,
,,Ukupni bruto iznos,,,,,,,
,,Gotovinski popust/Rok u danima,0%,0,,,,,
,,Ukupni bruto iznos (s gotovinskim popustom),,,,,,,
,,,,,,,,,
,,,,,,,,,
Kod,Vrsta,Kratki opis,Dugi opis,Količina,Jedinica,Jedinična cijena,Ukupno,bidderInputLabels,
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,,,
,,Opseg usluga metalne konstrukcije,"U sljedećim pozicijama potrebno je uzeti u obzir i uračunati sljedeće usluge, čak i ako nisu izričito navedene:
- obojane limove i pravokutne dijelove za priključke, krajeve i prijelaze
- eventualna oštećenja na površini i / ili slojevima pravilno ukloniti
- potrebne podkonstrukcije i pojačanja
- Prihvate za fuge na građevinama i promjene dužina uslijed temperaturnih varijacija
- kontrolirano odvođenje kišnice i kišnice nošene vjetrom
- Zaštitu građevinskih priključaka protiv kišnice s vanjske strane, odnosno pare s unutarnje strane
- interno povezivanje kablovima na prozorima, koristiti profile za prekrivanje kabela
- alternativno za garniture / aluminijske elemente, eloksirani: Nehrđajući čelik, mat
- izvedbu slijepih podnih profila (u razini slojeva poda)
- konzekventnu izvedbu hidroizolacije u podnožju pojedinih stavki
- konzekventnu izvedbu parne brane na svim rubovima pojedinih stavki
- padajuće brtve za vanjska i protupožarne stavke uključena u cijenu",,,,,,
309.010,,PVC staklene stijene,,,,,3750,,
309.010.00100,,x..AF10..x - staklena stijena između boravka i vanjske terase,"POZ P09
Dobava i postava staklene stijene između boravka i vanjske terase prema trenutno važećim smjernicama KaBa. Stijena se sastoji od fiksnih dijelova rastera 1,25m i jednokrilnih zaokretnih vrata svijetle širine 1,12m.
Građ.dimenzija stijene: [ 2,45/2,70 ] m
Konstrukcija stijene: PVC profil ojačan sa čeličnom jezgrom sa višekomornim sustavom i dvije EPDM brtve. Boja RAL 7016 otporna na ultraljubičasto zračenje. U zoni postave zaštite od sunca izvesti prošireni nadvojni profil visine 200mm.
Dizajn profila: ravno položena krila
Ostakljenje: višeslojnog sigurnosnog 2 izolacijskog stakla koeficijent prolaza topline Uw najmanje 1,3 W/m²K, Ug min 1,3 W/m²K . Zahtijevani koeficijent prolaza topline Uw odnosi se na cijeli prozor i uzima u obzir koeficijent prolaza topline okvira (Uf), ostakljenja (ug) i profila za održavanje razmaka izolacijskog ostakljenja (y-vrijednost).
Zaokretna vrata:
• Antipanik brava na vratima, pripremljena za prolazni profilni cilindar
• Okovi: Eloksirani aluminij ili nehrđajući čelik mat brušen, iznutra kvaka, izvana fiksna ručka, npr. HEWI Serie 11, s dugačkim štitom
• Kontrola: Magnetni kontakt i kontakt na zasunu za kontrolu otvaranja i zatvaranja, VdS razred C, prekriveni
• Ostalo: električni otvarač vrata, otključavanje brave s kliznim vođenjem, 12V DC, radna struja
• Otvarač vrata s mehaničkim otključavanjem zasuna otvarača vrata, s opružnim jezičkom
• Gornji zatvarač vrata
Izvedba prema detaljima proizvođača uključivo sav rad i materijal kako bi se stavka izvela do gotove funkcionalnosti

Spojne reške: PUR-pjena;
Fabrikat: SALAMANDER, GEALAN ili drugi istovrijedni pvc profili
Zidni zaustavljač vrata od mekane plastike, okrugli, promjera ca. 40 mm, s držačem od nehrđajućeg čelika, uklj. sredstva za pričvršćivanje, isporučiti i montirati",1,kom,3750,3750,,0
309.020,,Aluminijska staklena vrata,,,,,9400,,
309.020.00100,,"x..AT3..x - aluminijska evakuacijska dvokrilna vrata s nadsvjetlom  dimenzije 2,26 / 4,15 m","POZ A05
Izrada, dobava i postava dvokrilnih staklenih vrata s nadsvjetlom od aluminijskih profila dubine do cca.75mm s prekinutim termičkim mostom s EPDM brtvenim profilima. Ostakljenje od višeslojnog sigurnosnog 2 izolacijskog stakla 2x6mm. Izvedba do gotove funkcionalnosti i prema važećim smjernicama KaBa HR.

Širina vrata: ca. 2,26 m
Visina vrata: ca. 4,15 m (vrata ca. 2,25 m, nadsvjetlo ca 1,9 m)
Izvedba: Zaokretna vrata, 2-krilna, sa smjerom otvaranja ulijevo ili udesno
Okvir: Aluminijski okvir, s premazom u prahu otpornim na ultraljubičasto zračenje, boja RAL 7047
Krilo vrata: okvir od aluminija ravan izvana, s premazom u prahu i staklenom ispunom, s donjim zatvaračem (falc) ca. 15 mm
Koeficijent toplinske provodljivosti: min. 1,3 W/m2K, a stakla min 1,1 W/m2K
Panti: od nehrđajućeg čelika, skriveni
Okov: ručka s vanjske strane, s unutarnje strane potisna poluga na pomičnoj i nepomičnoj strani, od aluminija, s eloksiranom površinom
Brava na pomičnoj strani vrata: Ugradbena brava sa zasunom, objektne kvalitete, pripremljena za profilni cilindar, s panik funkcijom prema EN 1125, sa samostalnim zaključavanjem.
Gornji zatvarač vrata, na obja krila, s usklađenim mehanizmom zatvarnaja.
Neaktivna brava krila: skrivena bravica u obliku kvake u kvaliteti svojstva, s funkcijom panike prema EN 1125
Kontrola: Magnetni kontakti za kontrolu otvorenosti (2 na pomičnoj strani, 1 na nepomičnoj strani), kontrola zatvorenosti integrirana u bravu, kontakt za zatvoreno stanje na pogonskom zasunu, VdS razred C, prekrivena ugradnja
Boje: sukladno Kauflandovoj paleti boja",1,kom,4100,4100,,0
309.020.00105,,"x..AT3..x - aluminijska evakuacijska dvokrilna vrata dimenzije 2,26 / 2,25 m","POZ A06
Izrada, dobava i postava dvokrilnih staklenih vrata s nadsvjetlom od aluminijskih profila dubine do cca.75mm s prekinutim termičkim mostom s EPDM brtvenim profilima. Ostakljenje od višeslojnog sigurnosnog 2 izolacijskog stakla 2x6mm. Izvedba do gotove funkcionalnosti i prema važećim smjernicama KaBa HR.

Širina vrata: ca. 2,26 m
Visina vrata: ca. 4,15 m (vrata ca. 2,25 m)
Izvedba: Zaokretna vrata, 2-krilna, sa smjerom otvaranja ulijevo ili udesno
Okvir: Aluminijski okvir, s premazom u prahu otpornim na ultraljubičasto zračenje, boja RAL 7047
Krilo vrata: okvir od aluminija ravan izvana, s premazom u prahu i staklenom ispunom, s donjim zatvaračem (falc) ca. 15 mm
Koeficijent toplinske provodljivosti: min. 1,3 W/m2K, a stakla min 1,1 W/m2K
Panti: od nehrđajućeg čelika, skriveni
Okov: s vanjske strane glatko, bez rozeta, s unutarnje strane potisna poluga na pomičnoj i nepomičnoj strani, od aluminija, s eloksiranom površinom
Brava na pomičnoj strani vrata: Ugradbena brava sa zasunom, objektne kvalitete, pripremljena za profilni cilindar, s panik funkcijom prema EN 1125, sa samostalnim zaključavanjem.
Gornji zatvarač vrata, na obja krila, s usklađenim mehanizmom zatvarnaja.
Neaktivna brava krila: skrivena bravica u obliku kvake u kvaliteti svojstva, s funkcijom panike prema EN 1125
Kontrola: Magnetni kontakti za kontrolu otvorenosti (2 na pomičnoj strani, 1 na nepomičnoj strani), kontrola zatvorenosti integrirana u bravu, kontakt za zatvoreno stanje na pogonskom zasunu, VdS razred C, prekrivena ugradnja
Boje: sukladno Kauflandovoj paleti boja",1,kom,3600,3600,,0
309.020.00110,,"x..AT13..x - aluminijska 1-krilna staklena vrata dimenzije 1,16 / 2,16 m, izlaz u slučaju nužde EN 179","POZ F01
Vrata od aluminija i stakla s gornjim prozorom, vanjska vrata kao sustav s cijevnim okvirom i staklenom ispunom, s termički odvojenim šupljim profilima, s dubinom okvira od ca. 75 mm, s ostakljenjem od višeslojne izolacijske površine od laminiranog stakla i EPDM brtvenim profilima, izraditi, isporučiti i montirati.

Širina vrata: ca. 1,16 m
Visina vrata: ca. 2,16 m
Izvedba: Zaokretna vrata, 1-krilna, sa smjerom otvaranja ulijevo ili udesno
Okvir: Aluminijski okvir, s praškastim premazom otpornim na ultraljubičasto zračenje
Krilo vrata: Cijevni okvir od aluminija, s praškastim premazom otpornim na ultraljubičasto zračenje i staklenom ispunom cijelom visinom vrata, s donjim zatvaračem (falc) ca. 15 mm
Koeficijent toplinske provodljivosti: min. 1,3 W/m2K, a stakla min 1,1 W/m2K
Panti: od nehrđajućeg čelika, skriveni
Okov: okov za vrata od plemenitog čelika, unutra kvaka, izvana kugla, izvana dodatno ručka od plemenitog čelika.
Brava: Ugradbena brava sa zasunom, objektne kvalitete, pripremljena za profilni cilindar, s panik funkcijom prema EN 179
Gornji zatvarač: s kliznom šinom s odbojnikom u klizaču, na strani na kojoj se ne nalaze šarke, zatvarač s mogućnosću fiksiranja vrata u otvorenom položaju
Kontrola: Magnetni kontakti za kontrolu otvorenosti (2 na pomičnoj strani), kontakt na zasunu za kontrolu zatvorenosti, VdS razred C, prekrivena ugradnja
Ostalo: blok brava i kodirana brava, električni otvarač vrata, otključavanje brave s kliznim vođenjem, 12V DC, radna struja
Boje: sukladno Kauflandovoj paleti boja",1,kom,1700,1700,,0
,,,,,,,,,
309.030,,Staklena fasada,,,,,20800,,
309.030.00100,,x..PRF2..x - staklena fasada sa zaštitom od sunca,"POZ A07
Izrada, dobava i ugradnja ostakljene aluminijske fasadne konstrukcije. Fasadu izraditi od sistema samonosivih plastificiranih aluminijskih horizontalnih i vertikalnih pravokutnih šupljih profila s prekidom toplinskog mosta širine cca.60mm i dubine prema statičkom proračunu. Sve brtve na fasadi od EPDM-a prema DIN 7863. U cijeni stavke uključiti komplet sav potreban rad i materijal prema opisu u troškovniku, kao i sve dodatne radove i materijale potrebne da se izradi kompletna fasada kao oblikovna i funkcionalna cjelina. Svi spojni limovi, opšavi, tolinske izolacije, hidroizolacije i parne brane koje se prema pravilima struke ugrađuju, sastavni su dio ove stavke.
Konstrukcija:
- razmak osi stupova: prema planu fasade
- razmak osi horizontala: prema planu fasade
- osiguranje stakla protiv odvrtanja: npr. kombinacija Secu-Fast vijaka s vijcima s unutarnjim mnogokutom
- pokrovni profili s nevidljivim pričvršćivanjem (stegnuti)
- tip profila: kao Schuco FW 50+ ili jednakovrijedno
- premaz: praškastim premaz otporan na ultraljubičasto zračenje boja RAL7016 ili sukladno Kauflandovoj boji paleta
Ostakljenje:
- Proračun debljine, izradu, obradu i ugradnju stakla izvršiti u skladu s Tehničkim propisom za staklene konstrukcije (NN 153/13, 53/17). Debljine stakla prema potrebi provjeriti od strane ovlaštenog statičara. Kao osiguranje od pucanja kod laminiranog stakla obavezno pobrusiti rubove
- visina ostakljenja: prema planu fasade
- dvoslojno VSG izolacijsko staklo s Low E premaz + ispuna toplinski inertnim plinom argonom (6+16+6) s EPDM brtvenim profilima, odnosno prema statičkom proračunu
- gornji dio stavke (iznad kote spuštenog stropa +3,80m) izvesti u punoj ispuni (sendvič panel)
Koeficijent toplinske provodljivosti (Uw): min. 1,3 W/m2K i odnosi se na cijeli fasadni sustav, dok za ostekljenje vrijedi 1,1 W/m2K
Zaštita od sunca (prema smjernicama iz opisa gradnje KaBa HR):
Vrsta izvedbe 1 - prozirno staklo sa zaštitom od sunca
Prioritet 1
Staklo sa zaštitom od sunca ima prioritet u odnosu na prozirno staklo s roletama.
Preduvjet: Bez zasljepljivanja radnih mjesta zbog sunčevog zračenja!
Aspekti: Smanjenje investicije, montaže i instalacije. Izbjegavanje troškova za čišćenje, održavanje, popravak roleta. Vidljivost je uvijek dana
Karakteristike stakla i kriteriji za prozirno staklo sa zaštitom od sunca
Početak: prozirno staklo sa zaštitom od sunca
Ukupna propusnost energije (g-vrijednost / SHGC - koeficijent solarnog toplinskog prirasta): otpr. 30 - 20 %
Što je niža vrijednost SHGC, manje topline zračenja (sunca) dolazi izvana prema unutra
Propust svjetlosti (TL): približno 62 - 45 %
što je manja propusnost svjetla (TL), manje svjetla dolazi izvana
Staklo sa zaštitom od sunca s nižom propusnošću svjetlosti (TL: pribl. 50-45 %) prikladnije je za fasade s duljim/intenzivnijim sunčevim zračenjem, npr. orijentacije zapad/sjeverozapad.
Moraju se uzeti u obzir mogući efekti refleksije od susjednih zgrada.
Stakla na vrijeme ispitati.",52,m2,400,20800,,0
309.040,,Vjetrobran,,,,,16700,,
309.040.00100,,x..AT1..x - vanjska automatska klizna vrata dim. [250/230] m,"POZ A01
Dobava i ugradnja vanjskih evakucijskih automatskih kliznih vrata u pripremljeni otvor u vanjskoj fasadnoj staklenoj stijeni. Automatska vrata treba konstruirati tako, da ne može doći do gnječenja i uklještenja. Mjesta na kojima može doći do uklještenja trebaju se osigurati mekanim gumenim brtvenim profilima. Na elemente okvira paralelno s unutarnje i vanjske strane treba postaviti staklo. Razmak između sporednih rubova zatvaranja i bočnih površina mora uvijek biti veći od 200 mm.

Izvedba: evakuacijska klizna vrata s 2 krila
Krila vrata: Okvir od aluminija, s praškastim premazom otpornim na ultraljubičasto zračenje i ostakljenje s dvoslojnim VSG izolacijskim staklom s Low E premaz + ispuna toplinski inertnim plinom argonom (6+16+6) s EPDM brtvenim profilima. Klizna vrata u fino uokvirenoj izvedbi, dubina profila cca. 30 - 40 mm,ovisno o proizvođaču.
Pogon: Pogon kliznih vrata s modularnim sastavom i tihom kliznom šinom, brzina otvaranja i zatvaranja 0,5-0,7 m/s po krilima, 80 % širine otvara se unutar 3 sekunde u slučaju nužde
Upravljanje: Mikroprocesorska upravljačka jedinica, s vremenom otvorenosti od 0 do 180 sekundi i sljedećim radnim programima: Isključeno, Automatski, Otvoreno, Izlaz, podesivo pomoću programske sklopke
Sigurnosna oprema: Sigurnosna oprema odabire se prema državnim propisima i direktivama, ali minimalno je potrebna: Samostalna regulacija i nadzor kretnje krila, okretanje smjera u slučaju nailaženja na prepreku, samostalna provjera sigurnosnih uređaja, sklopka za isključivanje u slučaju nužde.
Aktivacija: obostrani kombinirani detektor s radarskim senzorom (za detekciju pokreta) i infracrveni senzor (za nadzor prisutnosti), sklopka s ključem s unutarnje strane
Zaključavanje: Elektromehaničko standardno zaključavanje s ručnim otključavanjem s unutarnje strane, mehaničko zaključavanje putem brave s kukastim zasunom s unutarnje strane
Kontrola: Stanja vrata putem bespotencijalnog kontakta na protuprovalnoj centrali
Zaštita od sunca (ostakljenje) potrebno izvesti identično kao za stavku u koju se ugrađuje kako bi se postigao uejdnačen izgled i svojstvo fasade.",1,kom,3350,3350,,0
309.040.00105,,"x..AT1..x - unutarnja staklena stijena za ugradnju kliznih vrata dim. [ 6,5 / 3,8 ] m","POZ A02
Izrada, dobava i ugradnja unutarnje staklene stijene sa nadsvjetlom za ugradnju automatskih kliznih vrata. Fasadu izraditi od sistema samonosivih plastificiranih aluminijskih horizontalnih i vertikalnih pravokutnih šupljih profila s prekidom toplinskog mosta širine cca.60mm i dubine prema statičkom proračunu. Sve brtve na fasadi od EPDM-a prema DIN 7863. U cijeni stavke uključiti komplet sav potreban rad i materijal prema opisu u troškovniku, kao i sve dodatne radove i materijale potrebne da se izradi kompletna fasada kao oblikovna i funkcionalna cjelina.
Konstrukcija:
- razmak osi stupova: prema planu fasade
- visina podjele stijene po horizontali: 2300 mm
- osiguranje stakla protiv odvrtanja: npr. kombinacija Secu-Fast vijaka s vijcima s unutarnjim mnogokutom
- pokrovni profili s nevidljivim pričvršćivanjem (stegnuti)
- tip profila: kao Schuco FW 50+ ili jednakovrijedno
- premaz: praškastim premaz otporan na ultraljubičasto zračenje boja RAL7016 ili sukladno Kauflandovoj boji paleta
- proširenje zadnjeg lijevog ili desnog profila za ugradnju pogonske i upravljačke jedinice
Ostakljenje:
- Proračun debljine, izradu, obradu i ugradnju stakla izvršiti u skladu s Tehničkim propisom za staklene konstrukcije (NN 153/13, 53/17). Debljine stakla prema potrebi provjeriti od strane ovlaštenog statičara. Kao osiguranje od pucanja kod laminiranog stakla obavezno pobrusiti rubove
- visina ostakljenja: prema planu fasade
- jednoslojno VSG izolacijsko staklo 8mm s EPDM brtvenim profilima, odnosno prema statičkom proračunu",25,m2,400,10000,,0
309.040.00106,,"x..AT1..x - unutarnja automatska klizna vrata dim. [ 2,5 / 2,3 ] m","POZ A02
Dobava i ugradnja unutarnjih evakucijskih automatskih kliznih vrata u pripremljeni otvor u unutarnjoj staklenoj stijeni. Automatska vrata treba konstruirati tako, da ne može doći do gnječenja i uklještenja. Mjesta na kojima može doći do uklještenja trebaju se osigurati mekanim gumenim brtvenim profilima. Na elemente okvira paralelno s unutarnje i vanjske strane treba postaviti staklo. Razmak između sporednih rubova zatvaranja i bočnih površina mora uvijek biti veći od 200 mm.

Izvedba: evakuacijska klizna vrata s 2 krila
Krila vrata: Okvir od aluminija, s praškastim premazom otpornim na ultraljubičasto zračenje i ostakljenje s jednoslojnim VSG izolacijskim staklom 8mm s EPDM brtvenim profilima. Klizna vrata u fino uokvirenoj izvedbi, dubina profila cca. 30 - 40 mm,ovisno o proizvođaču.
Pogon: Pogon kliznih vrata s modularnim sastavom i tihom kliznom šinom, brzina otvaranja i zatvaranja 0,5-0,7 m/s po krilima, 80 % širine otvara se unutar 3 sekunde u slučaju nužde
Upravljanje: Mikroprocesorska upravljačka jedinica, s vremenom otvorenosti od 0 do 180 sekundi i sljedećim radnim programima: Isključeno, Automatski, Otvoreno, Izlaz, podesivo pomoću programske sklopke
Sigurnosna oprema: Sigurnosna oprema odabire se prema državnim propisima i direktivama, ali minimalno je potrebna: Samostalna regulacija i nadzor kretnje krila, okretanje smjera u slučaju nailaženja na prepreku, samostalna provjera sigurnosnih uređaja, sklopka za isključivanje u slučaju nužde.
Aktivacija: obostrani kombinirani detektor s radarskim senzorom (za detekciju pokreta) i infracrveni senzor (za nadzor prisutnosti), sklopka s ključem s unutarnje strane
Zaključavanje: Elektromehaničko standardno zaključavanje s ručnim otključavanjem",1,kom,3350,3350,,0
309.040.00110,,x..AT1..x - satenske trake na kliznim krilima,"Dobava i postava lijepljenjem na klizna krila automatskih vrata satinirane trake širine 20cm. Postava na visini od 1,5-1,7m mjereno od gotovog poda.

Referentni proizvod: Oracal 8510-90, fino srebro, ili istovjetno",5,m,,,,0
309.040.00115,,x..RS28..x - Zaštita od nehrđajućeg čelika,"Zaštitu rubova, od nehrđajućeg čelika V4A, s brušenom (240 granulacija) i četkanom površinom, debljine materijala od min. 2 mm, u više dijelova s kutovima različitih dimenzija, pojedinačne dužine 2,3 m, za vanjsku zaštitu dviju vertikalnih unutarnjih površina u otvoru za automatska vrata, izraditi, isporučiti, zalijepiti i po potrebi dodatno mehnički pričvrstiti.

Jedinična cijena po automatskim vratima.",2,kom,,,,0
